,count_of_restaurant,postal_code,latitude,longitude
0,1,1320,50.77141259,4.832226471
1,1,1502,50.71363947,4.223692228
2,1,3717,50.72701019,5.427236832
3,1,8950,50.74581163,2.826595381
4,1,1040,50.8367196,4.3809852
5,1,1060,50.8224561,4.3537756
6,1,1081,50.8650385,4.319728599999999
7,1,1210,50.8139395,4.3463174
8,1,1325,50.68133,4.69711
9,1,1330,50.711209943977316,4.520776380398428
10,1,1330,50.719912,4.5139478
11,1,1501,50.74816,4.26224
12,1,1502,50.72004,4.19779
13,1,1650,50.7795239,4.3255918
14,1,1654,50.74961320586286,4.270976854814187
15,1,1700,50.8559001,4.2728514
16,1,1701,50.81816,4.24362
17,1,1702,50.8664339,4.2737075
18,1,1820,50.90630775571072,4.462892719572325
19,1,1830,50.91351891375439,4.430832266807556
20,1,1850,50.9320342,4.3715043
21,1,1860,50.948542836526535,4.314735087843304
22,1,1930,50.863062594956986,4.431620836257935
23,1,1933,50.8435101,4.509531
24,1,1980,50.98347378654782,4.461487494242663
25,1,2050,51.200287,4.4498187
26,1,2150,51.1935625,4.4751096
27,1,2160,51.21285719999999,4.4941585
28,1,2180,51.27502819999999,4.4125209
29,1,2220,51.07627,4.72074
30,1,2260,51.11423,4.86599
31,1,2275,51.23214,4.8317
32,1,2350,51.31331,4.88846
33,1,2360,51.33607,4.96729
34,1,2360,51.3362212,4.968931899999999
35,1,2430,51.09329,5.06127
36,1,2580,51.05595,4.62917
37,1,2590,51.11074,4.63611
38,1,2620,51.1493185,4.3398648
39,1,2627,51.13044,4.37451
40,1,2812,51.0095834,4.5149783
41,1,2840,51.11002,4.3696
42,1,2850,51.08591,4.36645
43,1,2920,51.3818,4.47695
44,1,2940,51.3302,4.36807
45,1,2970,51.26209,4.5502
46,1,3020,50.8997778,4.6798142
47,1,3080,50.82188,4.51351
48,1,3130,50.98787,4.78533
49,1,3220,50.91576,4.80779
50,1,3290,50.98007,5.05552
51,1,3360,50.8649486,4.7467972
52,1,3370,50.847103822701136,4.821171476416675
53,1,3390,50.90619,4.87727
54,1,3520,50.9872033,5.408851
55,1,3540,50.94388263353016,5.151280984430894
56,1,3550,51.04153,5.30067
57,1,3580,51.040365324312226,5.221359067456827
58,1,3581,51.07801,5.21905
59,1,3590,50.93254,5.40493
60,1,3665,51.00645,5.58207
61,1,3840,50.80254,5.34283
62,1,3900,51.21194,5.42259
63,1,3960,51.1368,5.59608
64,1,3970,51.11406,5.25301
65,1,3980,51.06969,5.08769
66,1,4000,51.0542351,3.7237368
67,1,7500,50.60665,3.39201
68,1,7700,50.74497,3.22754
69,1,7860,50.71165,3.83365
70,1,8301,51.33941,3.23854
71,1,8560,50.80944,3.18506
72,1,8587,50.718072,3.35686
73,1,9030,51.03146539999999,3.7129803
74,1,9031,51.05073,3.6562567
75,1,9041,51.0783881,3.755145299999999
76,1,9070,51.051874,3.761361
77,1,9080,51.09623,3.83403
78,1,9160,51.103759407597664,3.988229157999711
79,1,9185,51.17092,3.86017
80,1,9308,50.9624763,4.0352438
81,1,9500,50.77085,3.87578
82,1,9700,50.84295,3.60346
83,1,9870,50.93623,3.46226
84,2,2387,51.42474659,4.912343728
85,2,3690,50.9425444,5.5654012145
86,2,3798,50.75876473,5.760196176999999
87,2,8587,50.72381885,3.369593322
88,2,8760,50.956565850000004,3.3084918145
89,2,1060,50.8260224973927,4.346100668567113
90,2,1130,50.8787583,4.41195485
91,2,1601,50.78999705,4.29647135
92,2,1630,50.77869905,4.325574400000001
93,2,1730,50.90994,4.200705
94,2,1831,50.8972993,4.4304396
95,2,1850,50.93649,4.363635
96,2,1910,50.93766,4.543165
97,2,1970,50.84064945,4.488252299999999
98,2,2030,51.241969299999994,4.4125519
99,2,2160,51.208785,4.508845
100,2,2560,51.16111247706318,4.670258215202439
101,2,2570,51.094985,4.5015350000000005
102,2,2880,51.09935,4.237425
103,2,3012,50.90188,4.7051549999999995
104,2,3110,50.94985,4.71249
105,2,3360,50.85973,4.760325
106,2,3530,51.025724999999994,5.428115
107,2,3630,50.988492837317395,5.694118510980092
108,2,3920,51.228335,5.3126750000000005
109,2,8300,51.351635599999994,3.2863742499999997
110,2,8510,50.78697,3.250045
111,2,8510,50.808546925,3.2370218614999997
112,2,8520,50.85065205,3.27989035
113,2,8792,50.88016,3.35925
114,2,8800,50.944630000000004,3.124345
115,2,9052,51.004892,3.7161895
116,2,9120,51.2145,4.25438
117,2,9200,51.03742,4.12439
118,2,9320,50.917003367706286,4.076365368154626
119,2,9400,50.83192517551279,4.024597775212433
120,3,1210,50.85036366666666,4.373784933333333
121,3,1420,50.6989556391029,4.364962190925312
122,3,1440,50.68814,4.31418
123,3,1600,50.796876554462834,4.273710155467732
124,3,1731,50.88288048067511,4.276007205390634
125,3,1831,50.89372666666666,4.44002
126,3,1932,50.8722206,4.535631066666666
127,3,1970,50.84072,4.491056666666666
128,3,2030,51.2523957,4.4115946
129,3,2050,51.227196666666664,4.389966666666667
130,3,2660,51.17618366666667,4.356036366666666
131,3,2900,51.25094278941026,4.471989763314819
132,3,3020,50.9043768,4.6761153
133,3,3511,50.94566033728805,5.306471348090617
134,3,3800,50.808326666666666,5.198356666666666
135,3,7850,50.69469999999999,4.04223
136,3,8370,51.314276666666665,3.1236433333333333
137,3,8900,50.85101,2.8854433333333334
138,3,9041,51.09039281781526,3.758464653801669
139,4,3790,50.755923005,5.76084381125
140,4,3850,50.874456447499995,5.20564300625
141,4,1120,50.8935535,4.381600175
142,4,1130,50.88224104,4.4136229797499995
143,4,1300,50.714863625,4.616736975
144,4,1780,50.8989073325,4.3142575755
145,4,1830,50.914232999999996,4.437717774999999
146,4,1853,50.90215755,4.353224625
147,4,2110,51.222702490575315,4.5017263087310795
148,4,2650,51.162234999999995,4.4390475
149,4,3511,50.94374201820932,5.309329027187163
150,4,8450,51.2454525,2.964125
151,4,8530,50.849734999999995,3.3027875
152,4,8790,50.8889125,3.4280975
153,4,9032,51.08313262285537,3.711624288037317
154,4,9140,51.1268775,4.212479999999999
155,5,3790,50.752231052,5.773354139
156,5,1160,50.8153563846689,4.426254121150895
157,5,1620,50.793089033745034,4.311746889667968
158,5,1620,50.7935399,4.31200732
159,5,1640,50.74839642,4.35741888
160,5,1652,50.74180642,4.336071179999999
161,5,1853,50.9061425,4.35702146
162,5,2950,51.32035,4.4230220000000005
163,5,3001,50.86965744170189,4.68934829217743
164,5,8501,50.83789382,3.2373829799999996
165,5,9800,50.9806,3.510586
166,6,2380,51.40444366666667,4.9997040145
167,6,1160,50.81554953333333,4.4308672
168,6,2150,51.197322531096916,4.481941906883281
169,6,2500,51.13078333333333,4.569141666666666
170,6,2550,51.13617386421226,4.446921101163192
171,7,2380,51.404311334285715,4.969141617857143
172,7,3040,50.78400702857142,4.616658678
173,7,8610,51.02671455714285,3.0195290704285713
174,7,2400,51.18769714285714,5.117798571428572
175,7,2440,51.161004285714284,4.989524285714286
176,7,3010,50.88184555714285,4.7183578
177,8,3660,51.021255175,5.5828141595
178,8,1000,50.87947414381401,4.3740463260609435
179,8,2170,51.244918820888216,4.4411172504955285
180,8,2640,51.17430813749999,4.4448996375
181,8,2930,51.28851375,4.4849625
182,8,8200,51.197313975,3.2040493875
183,8,8310,51.210269,3.2498891
184,8,9040,51.054049324999994,3.7486402125
185,9,3320,50.78438280555556,4.882922349444445
186,9,1083,50.86960697455825,4.313319545918782
187,9,1480,50.6934,4.198774444444444
188,9,2660,51.18141222222222,4.367067977777777
189,9,3001,50.8708626611301,4.694241836228553
190,10,3320,50.786413702,4.8781104098
191,10,1050,50.819435452233876,4.379796988654844
192,10,1081,50.864721195846016,4.327368344616189
193,10,1700,50.84169291,4.265760370000001
194,11,2280,51.16023538727273,4.684052003909091
195,11,2370,51.37112193181818,5.040400953363636
196,11,2950,51.32294451727273,4.385685342545455
197,11,1080,50.85552874953499,4.316598995769708
198,11,1120,50.8962721338633,4.385530492876064
199,11,1310,50.73171272727273,4.4861835
200,11,1332,50.724186024567146,4.510162613432045
201,11,1702,50.87222047626392,4.264903421530792
202,11,1932,50.86680349090909,4.4509072
203,11,8300,51.34387090909092,3.2902163636363637
204,11,9050,51.03620724545454,3.7473618727272724
205,11,9200,51.034127181818185,4.1098854909090905
206,12,1652,50.75372472666667,4.34308889775
207,12,3545,50.902263874999996,5.060896019666667
208,12,9310,50.95591769166666,4.122812863333333
209,12,2180,51.283436104375774,4.420690898201604
210,12,2900,51.25308261228816,4.4935405
211,13,3545,50.980183768461536,5.150977982307692
212,13,1190,50.810773499999996,4.321400046153846
213,13,1780,50.903510473447994,4.312472380663084
214,13,1950,50.85773208461538,4.461347684615385
215,14,2460,51.24581317857143,4.933755035571429
216,14,3870,50.75516457714286,5.304578513571428
217,14,2020,51.18712191460452,4.386785071200139
218,14,3800,50.81471531128397,5.184877028598895
219,15,1501,50.744657488,4.254960300466666
220,15,2470,51.310116865333335,5.083392530799999
221,15,3080,50.819731567999995,4.5267578440000005
222,15,9600,50.758557245333336,3.5869231684
223,15,9890,50.937687536666665,3.6533778314
224,15,1082,50.86575839333333,4.29793618
225,15,1600,50.79676151336542,4.277390991685285
226,15,2640,51.17209538418245,4.4498629114474175
227,15,3010,50.879893231983466,4.723506000951589
228,15,9050,51.03810889333333,3.7451789333333334
229,16,2321,51.412022563125,4.742587436625
230,16,3680,51.09593418125,5.785724431625
231,16,3793,50.74956233,5.808977119375
232,16,1082,50.8660318771813,4.297016542703779
233,16,1800,50.92800519375,4.426790325
234,16,1930,50.88263207674573,4.476485906438876
235,16,2110,51.22509356924505,4.508672329520235
236,16,3090,50.7862890625,4.4986951812500005
237,16,3600,50.97602684375,5.49850741875
238,16,9040,51.05949053276356,3.750494425840694
239,17,1652,50.753694288823525,4.321260686588236
240,17,2550,51.15096602294118,4.457243318529412
241,17,9950,51.15711099823529,3.5893729434705883
242,17,1500,50.73460076191424,4.236001846254417
243,17,1950,50.85674157157633,4.4630684909441385
244,17,2300,51.31930926681077,4.945176498421972
245,18,3960,51.155551431666666,5.594309297944445
246,18,8630,51.06415020777778,2.6566463509444445
247,18,1190,50.80966603890985,4.320731509023164
248,18,2610,51.1720785591471,4.396059301071166
249,18,8200,51.19789572143557,3.201282753876502
250,19,3070,50.91179156526316,4.528345144105263
251,19,3090,50.769270037894735,4.529221581105263
252,19,2020,51.18662207331089,4.3862371466060175
253,19,2300,51.31967315789474,4.9474800000000005
254,19,8310,51.20912120282751,3.247798504244989
255,20,3090,50.757274602500004,4.483105466
256,21,2020,51.187378223809525,4.387526137761905
257,21,3090,50.75745638238095,4.453844611619048
258,21,8680,51.13907662333333,2.976731024904762
259,21,9881,51.04879477714286,3.3919996165238095
260,22,3900,51.15172733,5.443530788318181
261,22,8210,51.15184683681818,3.1993616690454547
262,22,8421,51.310444033181824,3.1799647385909093
263,22,9950,51.11316914,3.5566248981363633
264,23,9120,51.22413725173914,4.271728427826087
265,24,1702,50.89087968291667,4.23312309525
266,24,3012,50.957437400416666,4.7126808052083335
267,24,1083,50.87205925173662,4.3143880598521
268,24,2100,51.214938787499996,4.4586415666666666
269,24,3600,50.973869990106266,5.501816261472193
270,25,3191,50.981823578800004,4.5652840758
271,25,3271,51.0102806696,4.93447221028
272,25,2610,51.174725082124944,4.390168641865939
273,26,9120,51.20217290269231,4.305899374538462
274,26,9500,50.77679964,3.9032204232307697
275,26,1020,50.88501249615384,4.346788926923077
276,26,1140,50.862899313963766,4.411580300382263
277,26,1800,50.92334842717549,4.417339892771903
278,27,2470,51.233173542592596,5.110462257555556
279,27,2170,51.245820522222225,4.442773459259259
280,28,1570,50.7344018425,4.090963254892857
281,28,1861,51.00459208785714,4.33534321075
282,28,8630,51.08230848892857,2.655772083964286
283,28,8710,50.9277673725,3.335522186428572
284,28,9230,51.04231783785714,3.883763142642857
285,28,9820,50.99914733035714,3.705896953535714
286,28,2140,51.210828757142856,4.440876325
287,29,2800,51.02117263965518,4.450605561241379
288,29,3381,50.826347775172415,4.943765332482759
289,29,3830,50.82866541,5.329708825517241
290,29,8670,51.13861715862069,2.7466663996551723
291,29,1150,50.83715401933833,4.4484968933544335
292,29,2140,51.212869860600264,4.438869721186206
293,29,9100,51.164659868965515,4.146193696551724
294,30,8340,51.214457218,3.4139944575666665
295,30,8820,51.08797446366667,3.2057608095666668
296,30,9200,51.008871826000004,4.090604953533333
297,31,1080,50.85634091664704,4.3212010771187
298,32,3700,50.775513216875,5.46765806096875
299,32,9180,51.2152819759375,4.05488961159375
300,32,1140,50.86521661700047,4.409836173906241
301,33,2200,51.14185025242424,4.842299125030303
302,33,3660,51.01251039363636,5.526277989818182
303,33,3700,50.77404342818182,5.4664331752424244
304,34,1760,50.86583657117647,4.164143317764705
305,34,1950,50.82375648764706,4.525835696588236
306,34,2275,51.1980355417647,4.845248559647058
307,34,9300,50.938959979875364,4.038489393219129
308,35,3390,50.899842195714285,4.816537985257143
309,35,8900,50.83073218371429,2.822415971314286
310,35,1090,50.87572770285714,4.325788194285714
311,35,1150,50.83758666171428,4.4540762724
312,36,1652,50.74933707861111,4.336942312750001
313,36,3271,50.970602426944446,4.898907476111111
314,36,1000,50.84933257777778,4.381624161111111
315,36,1200,50.846988801032666,4.433519209808576
316,36,8800,50.94795043055973,3.1240955494478015
317,37,1501,50.73867655972973,4.227987736702702
318,37,1760,50.774306964054055,4.081600700027027
319,37,8480,51.06745047513513,3.078920137972973
320,37,1200,50.84653025306239,4.432140646460673
321,38,1652,50.756532667631575,4.336140003894737
322,38,8930,50.81138162131579,3.0400515322631576
323,38,9600,50.76687823763158,3.5938325189210527
324,38,3500,50.93086760961672,5.33733970284324
325,39,3990,51.13697356102564,5.542032930051282
326,39,1020,50.891721977493724,4.353619739711936
327,39,1030,50.86252192956585,4.393640856120207
328,39,1090,50.87664520310807,4.32712372253406
329,40,2400,51.141203322,5.185528853825
330,40,3210,50.90960788675,4.77752546165
331,40,9500,50.76159255225,3.9356509290250004
332,41,3583,51.06987096365854,5.220135583341464
333,41,2060,51.22281599435266,4.4261455001451
334,42,2310,51.33835057047619,4.731626008071428
335,42,2440,51.115035456904764,4.941698426857142
336,43,3890,50.75187514674419,5.090376631976745
337,43,9200,51.044287651860465,4.186624539744186
338,43,1410,50.717373035213285,4.397840294482412
339,43,8500,50.82570975979403,3.2668974437617853
340,44,3140,50.986341023181815,4.72316392740909
341,44,9100,51.16457561391796,4.144932572080565
342,45,2845,50.993115300666666,4.296075939133333
343,45,3054,50.84864384377778,4.674396063733334
344,45,9890,50.96176167311111,3.6079771904
345,45,1410,50.71629183612547,4.397393766076779
346,46,8900,50.86009534195652,2.761406474195652
347,47,3381,50.829590501063834,5.005529064617021
348,47,8800,50.971130781063835,3.161297429085107
349,47,8400,51.22672451006876,2.916295359172369
350,48,2550,51.126816553333335,4.516684258854167
351,48,2920,51.419622895,4.4694977109166665
352,48,3054,50.796597497499995,4.64704719075
353,48,3300,50.788652174166664,4.986970667375
354,48,2100,51.21582371006456,4.461082280465962
355,50,1831,50.8668272038,4.48711400248
356,50,2950,51.318448753800006,4.3906012891
357,52,8560,50.90495640211539,3.165381660596154
358,52,2060,51.20980158653846,4.422330426923077
359,52,2600,51.1962272366312,4.4324966018122325
360,53,3070,50.843130118301886,4.504311305226415
361,53,8450,51.24047108,3.02543586154717
362,54,3290,50.98255408944445,5.199068676537037
363,54,1030,50.861828096210225,4.390833471388922
364,54,2600,51.19492609382436,4.432016776166987
365,55,2200,51.13064819309091,4.787703307399999
366,56,9881,51.08574088125,3.4380788836607143
367,57,1652,50.755424174210525,4.260919159298245
368,57,1652,50.790121733157896,4.505686648140351
369,57,3500,50.943011630701754,5.3331506490175435
370,57,9620,50.89326841491228,3.853514274368421
371,57,8400,51.22926867894737,2.914611049122807
372,58,2580,51.11780239137931,4.707406043793103
373,59,1800,50.94566276949153,4.3067419075423725
374,60,9300,50.93948541017367,4.039421432496585
375,61,8680,51.03244931573771,2.8838947358524587
376,61,8930,50.80860481098361,3.0247964892131147
377,61,9120,51.14893246278689,4.245276539360656
378,61,1180,50.79952647803279,4.342264950655737
379,64,9200,51.0136457528125,4.02706290259375
380,65,2920,51.385537080615386,4.7390433363230775
381,65,3700,50.77476701646154,5.467036195907693
