city,postal_code
Lessines,
Frasnes-lez-Anvaing,
Forest,
Echt,
Maasmechelen,3630
Waterloo,
Maastricht,
Lanaken,3620
Kanne,
Zaventem,1932
Middelkerke,8433
Knokke-Heist,8300
Zeebrugge,
Wenduine,
De Haan,8420
Pelt,3910
Tremelo,3120
Hever,
Sint-Katelijne-Waver,2861
Rijmenam,
Eigenbrakel,
Sint-Pieters-Leeuw,1601
Drogenbos,1620
Sint-Lambrechts-Woluwe,1200
Machelen,1830
Vilvoorde,1804
Grimbergen,1850
Eppegem,
Schaarbeek,1044
Malines,
Hoogstraten,2323
Roosendaal,
Essen,2910
Tournai,
Linden,
Eisden,
Ittervoort,
Kinrooi,3640
Koksijde,8670
Wuustwezel,2990
Enghien,
Valkenswaard,
Willebroek,2830
Zemst,1980
Steenhuffel,
Kiel,
Deurne,
Burcht,
Zwijndrecht,2070
Temse,9140
Rupelmonde,
De Klinge,
Sint-Niklaas,9112
Hoboken,
Vrasene,
Haasdonk,
Waregem,8790
Rekkem,
Kortrijk,8500
Leopoldsburg,3970
Diest,3293
Hasselt,3510
Geraardsbergen,9506
Kortemark,8610
Ossendrecht,
Mol,
Wingene,8750
Schilde,2970
Zandhoven,2243
Lille,2275
Oelegem,
Grobbendonk,2280
Laakdal,2431
Wellen,3830
Kalken,
Ruislede,
Lede,9340
Melle,9090
Gijzegem,
Sluis,
Maldegem,9990
Gand,
Landen,3400
Geetbets,3454
Kortenaken,3471
Sint-Truiden,3806
Saint-Truiden,
Zoutleeuw,3440
Nazareth,9810
Kortrijk-Dutsel,
Holsbeek,3221
Lubbeek,3211
Rillaar,
Rotselaar,3111
Sint-Lievens-Houtem,9520
Oordegem,
Meise,1860
Wemmel,1780
Neder-over-Heembeek,
Zellik,
Kessel,
Hoepertingen,
Jeuk,
Heist-Op-Den-Berg,
Itegem,
Gierle,
Tielen,
Sint-Andries,
Sint-Kruis,
Halle-Booienhoven,
Dormaal,
Bunsbeek,
Vissenaken,
Neerlinter,
Poperinge,8972
Sint-Eloois-Winkel,
Hoeselt,3732
Eindhout,
Herentals,2200
Zoerle-Porwijs,
Westmeerbeek,
Ramsel,
Oevel,
Ieper,8900
Hechtel,
Eksel,
Oudsbergen,3670
Houthalen,
Roccourt,
Ledeberg,
Wavre,
Rixensart,
Halle,1500
Zwevegem,8552
Courtrai,
Grembergen,
Kortenberg,3070
Steenokkerzeel,1820
Zelzate,9060
Ertvelde,
Wondelgem,
Louvain,
Wilsele,
Oud-Heverlee,3053
Zottegem,9620
Oosterzele,9860
Ranst,2520
Waarloos,
Hekelgem,
Denderleeuw,9473
Kester,
Veurne,8630
Ninove,9406
Ophasselt,
Roosdaal,1761
Lierde,9571
Haaltert,9450
