company;menu_item_name;restaurant_name;latitude;longitude;avg_kapsalon
Deliveroo;Kapsalon;Pizzeria Amore;50.8296651;3.2715595;4.5
Uber Eats;Kapsalon;Pizzeria Amore;50.82996;3.27097;4.5
Deliveroo;Kapsalon;Yamal Alsham ;51.2182847;4.418298200000001;5.0
Uber Eats;Kapsalon;Tubize Food;50.69286;4.20507;5.0
Uber Eats;Kapsalon;Barbecue Duhok;51.06056;3.71041;5.0
Uber Eats;Kapsalon;Ã–z Ahi;51.19;4.37771;5.0
Takeaway;Kapsalon;Öz Ahi Döner;51.1899559;4.3778795;5.0
Deliveroo;Kapsalon;ÖZ AHI;51.1899486;4.3778715;5.5
Takeaway;Kapsalon;Street Kap;50.853887;4.3537965;5.7
Deliveroo;Kapsalon;Z'appétit;50.86797929999999;4.3205671;5.83
Uber Eats;Kapsalon;De Kapsalon;51.20939;4.42945;5.95
Deliveroo;Kapsalon;Kebab Vrijdag;51.05631;3.726280499999999;6.0
Takeaway;Kapsalon;Foodbar Melisa;50.8899295;5.6506281;6.0
Takeaway;Kapsalon;Gevara;51.219154;4.419343;6.0
Takeaway;Kapsalon;Snack Babylon Uccle;50.7997464;4.3366474;6.0
Deliveroo;Kapsalon;Pitta Cengoo;51.0527847;3.7463782;6.13
Takeaway;Kapsalon;Sultan Kebap;51.218858;4.4050159;6.19
Deliveroo;Kapsalon;De Nijl | Leuven;50.8756293;4.7001928;6.25
Uber Eats;Kapsalon;Yamal Alsham Antwerpen;51.21829;4.41831;6.38
Deliveroo;Kapsalon;Solav Kebab;51.2189946;4.420245899999999;6.45
Uber Eats;Kapsalon;tok tok;51.22517;4.40467;6.47
Uber Eats;Kapsalon;Mi-Chaud Snack;51.22519;4.40478;6.47
Deliveroo;Kapsalon;Afghan Restaurant Mahya;51.2226074;4.425693;6.5
Uber Eats;Kapsalon;Snack Istanbul;50.83547732424592;4.311028588166092;6.5
Uber Eats;Kapsalon;Amigo's;51.1652283;4.1427483;6.5
Uber Eats;Kapsalon;Buenos Burgers;51.2076333;4.4649362;6.5
Takeaway;Kapsalon;Hawin Bakkerij Gent;51.0567129;3.7352987;6.5
Takeaway;Kapsalon;Snack Mogusto;50.8391966;4.3341794;6.5
Takeaway;Kapsalon;Najmat Al shaam;51.214038;4.4411826;6.5
Uber Eats;Kapsalon;Nrj;50.87218;4.39123;6.67
Uber Eats;Kapsalon;Eldina Snack & Resto;51.24087;4.43924;6.75
Takeaway;Kapsalon;Chill's Corner;51.1988853;4.4283805;6.75
Takeaway;Kapsalon;Grillé Darna;50.8701862;4.3722995;6.8
Deliveroo;Kapsalon;Steakhouse pizzaria Amsterdam;51.1861375;4.3874416;6.81
Uber Eats;Kapsalon;Pitta House;50.82531;3.26488;6.95
Takeaway;Kapsalon;Snack Istanbul Wayez;50.835412;4.3110307;6.99
Deliveroo;Kapsalon;Ali Kebab ;51.06086519999999;3.7012991;7.0
Deliveroo;Kapsalon;Pizza Posto;50.8760583;4.708988199999999;7.0
Deliveroo;Kapsalon;Max snacks;50.945308;3.1194103;7.0
Uber Eats;Kapsalon;Pyramide grillroom pizza pita pasta;51.2275;4.51831;7.0
Uber Eats;Kapsalon;Viva La Snack;50.80944;3.18506;7.0
Uber Eats;Kapsalon;Snack Resto de Chef;50.92939;4.42223;7.0
Uber Eats;Kapsalon;Chicken Center;51.21951;4.419;7.0
Uber Eats;Kapsalon;Kebab love;51.0497458;3.7322255;7.0
Takeaway;Kapsalon;Akym Food;50.8769268;4.3792967;7.0
